,Company,Placed,Average CTC (LPA)
0,American Express,1,22
1,Blackrock ,1,18
2,Cisco PPO,1,24.7
3,Cognizant NPN,4,4.5
4,Dell,1,13.72
5,Deloitte India,4,7.6
6,Deloitte USI,1,7.6
7,IBM CIC,2,4.75
8,Infosys HWI DSE,1,6.25
9,KPMG,2,5.5
10,Marvell PPO,1,27.16
11,Presidio ,1,10
12,Prodapt ,4,6.666666666666667
13,Siemens EDA Internship,1,20.5
14,ZS Associates ,1,13.6
15,ZS Associates PPO,1,13.65
16,Zanskar,1,21
17,ZoomRx,1,8
