,Company,Placed,Average CTC (LPA)
0,American Express,1,22
1,Cognizant NPN,1,4.5
2,Deloitte India,1,7.6
3,EY GDS,3,7.61
4,Honeywell,1,9
5,Natwest,1,21
6,Nielsen,1,15
7,Okta,1,28
8,Prodapt ,1,8
9,Sabre ,1,18.9
10,Swiss Re,1,14
11,Verity ,1,7.5
12,Verizon,1,9
