Company,Month,Average_CTC_(LPA),BBS,BCB,BCE,BCI,BCT,BDS,BEC,BEE,BIT,BKT
Morgan Stanley PPO,Aug-25,25.0,0,0,2,0,0,0,0,0,0,0
Motorq PPO,Jul-25,100.0,0,0,0,1,1,0,0,0,0,0
Natwest,Sep-25,21.0,0,0,6,0,2,0,0,0,0,1
Nielsen,Sep-25,15.0,0,0,3,0,0,2,0,0,0,1
Nutanix,Sep-25,19.0,0,0,4,1,1,1,1,0,0,0
Nxp Semiconductors,Sep-25,23.0,0,0,0,0,0,0,2,0,0,0
Okta,Jul-25,28.0,0,0,10,0,1,0,0,0,0,1
Optiv Security PPO,Jul-25,10.6,0,0,0,2,0,0,0,0,0,0
Optum ,Oct-25,19.2,1,0,12,0,1,0,0,0,3,0
Optum PPO,Aug-25,19.2,1,0,10,0,2,0,0,0,0,0
Oracle,Oct-25,21.5,0,0,14,1,0,0,0,0,2,0
Oracle PPO,Aug-25,19.2,0,0,0,1,0,0,0,0,1,0
PayPal PPO,Aug-25,34.5,0,0,9,1,0,0,0,0,0,0
PegaSystems Worldwide,Oct-25,14.5,1,0,4,0,1,0,0,0,1,0
PhonePe,Jul-25,33.5,0,0,2,0,1,0,0,0,2,0
Presidio ,Aug-25,10.0,1,1,3,0,0,0,0,0,0,0
ProcDNA,Aug-25,11.74,1,0,6,0,0,1,1,0,0,0
Procyon TechSolution,Oct-25,6.0,0,0,0,0,0,0,3,0,0,0
Prodapt ,Sep-25,6.666666666666670,2,4,63,6,5,12,0,0,13,1
Pwc ,Sep-25,9.0,4,0,30,2,2,8,4,0,8,0
Pwc PPO,Sep-25,9.0,0,0,1,0,0,0,0,0,0,0
QSC,Sep-25,10.3,0,0,6,0,0,1,0,0,1,0
Qualcomm PPO,Aug-25,33.0,0,0,0,0,0,0,0,0,2,0
RT Camp,Oct-25,12.0,0,0,0,0,0,0,0,0,0,0
Ring Central,Jul-25,28.1,1,0,2,0,0,0,0,0,0,0
Rystad Energy,Oct-25,10.9,0,0,5,0,1,3,1,1,0,0
SAP Labs,Aug-25,24.5,0,0,1,0,1,0,0,0,1,0
Sabre ,Aug-25,18.9,0,0,6,0,0,0,0,0,0,1
Samsung PPO,Aug-25,21.5,0,0,2,0,2,0,0,0,0,0
Sandisk,Aug-25,17.0,0,0,0,0,0,0,1,0,0,0
Sapiens,Oct-25,14.25,0,0,19,0,1,0,0,0,2,0
Saviynt,Aug-25,20.0,0,0,1,1,0,1,0,0,0,0
Schlumberger ,Sep-25,12.183333333333300,0,0,1,0,1,0,0,1,0,0
Schneider Electric,Aug-25,12.0,0,0,3,0,0,0,6,5,0,0
Shell,Oct-25,18.0,0,0,2,0,0,0,0,0,0,0
Shipsy,Aug-25,14.0,0,0,1,0,0,0,0,0,0,0
Siemens EDA Internship,Oct-25,20.5,0,1,6,0,1,2,5,1,1,0
Siemens Energy,Sep-25,6.0,0,0,0,0,0,0,1,3,0,0
Societe Generale,Aug-25,12.2,0,0,14,3,0,1,0,0,1,0
Societe Generale,Oct-25,12.2,0,0,14,3,0,1,0,0,1,0
Solarwinds,Oct-25,17.5,0,0,1,1,0,1,0,0,0,0
Swiss Re,Jul-25,14.0,0,0,2,0,0,0,0,0,0,1
Tecdia PPO,Aug-25,14.0,0,0,2,0,0,0,0,0,0,0
Tekion,Sep-25,20.0,0,0,3,0,0,0,0,0,0,0
Toshiba,Sep-25,10.05,0,0,4,0,0,0,1,0,1,0
Tredence,Sep-25,12.0,0,0,7,0,0,2,0,0,2,0
Tresata,Sep-25,10.0,0,0,1,0,2,0,0,0,0,0
