,Company,Placed,Average CTC (LPA)
0,Accenture AEH PPO,1,11.8
1,Alstom,8,6.8
2,Bain Capability Networks,1,15.8
3,Bharati Airtel,1,14.75
4,Cognizant NPN,2,4.5
5,Deloitte India,1,7.6
6,Deloitte USI,2,7.6
7,Elgi Equipment,2,8.5
8,ExxonMobil,3,13.49
9,Honeywell,3,9
10,Jindal PPO,11,21
11,KIRLOSKAR,2,8.37
12,KPMG,1,6
13,Rystad Energy,1,10.9
14,Schlumberger ,1,12
15,Schneider Electric,5,12
16,Siemens EDA Internship,1,20.5
17,Siemens Energy,3,6
18,Varroc,1,12.5
19,ZS Associates ,1,13.6
